,ppCode,Carpark Name,Total Lots,Lot Type,Parking System,WeekDay Rates,WeekDay Minimum,Saturday Rates,Saturday Minimum,Sunday & PH Rates,Sunday & PH Minimum,Start Time,End Time
0,A0004,ALIWAL STREET ,69,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
1,A0004,ALIWAL STREET ,4,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
2,A0005,ALLENBY ROAD ,16,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
3,A0006,AMOY STREET ,84,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
4,A0006,AMOY STREET ,84,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
5,A0006,AMOY STREET ,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
6,A0007,ANGULLIA PARK OFF STREET,268,Car,Electronic,$1.30,30 mins,$1.30,30 mins,$0.70,30 mins,07:00,11:00
7,A0007,ANGULLIA PARK OFF STREET,268,Car,Electronic,$1.50,30 mins,$1.50,30 mins,$0.80,30 mins,11:00,17:00
8,A0007,ANGULLIA PARK OFF STREET,268,Car,Electronic,$0.80,30 mins,$0.80,30 mins,$0.80,30 mins,17:00,22:30
9,A0007,ANGULLIA PARK OFF STREET,268,Car,Electronic,$0.70,30 mins,$0.70,30 mins,$0.70,30 mins,22:30,07:00
10,A0007,ANGULLIA PARK OFF STREET,268,Car,Electronic,$5.60,510 mins,$5.60,510 mins,$5.60,510 mins,22:30,07:00
11,A0007,ANGULLIA PARK OFF STREET,83,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
12,A0007,ANGULLIA PARK OFF STREET,83,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
13,A0008,ANN SIANG ROAD ,26,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
14,A0008,ANN SIANG ROAD ,26,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
15,A0010,ARAB STREET ,92,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
16,A0010,ARAB STREET ,13,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
17,A0011,ARMENIAN STREET OFF STREET,45,Car,Electronic,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,11:00
18,A0011,ARMENIAN STREET OFF STREET,45,Car,Electronic,$1.40,30 mins,$1.40,30 mins,$0.75,30 mins,11:00,14:00
19,A0011,ARMENIAN STREET OFF STREET,45,Car,Electronic,$1.40,30 mins,$1.40,30 mins,$0.75,30 mins,14:00,17:00
20,A0011,ARMENIAN STREET OFF STREET,45,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:30
21,A0011,ARMENIAN STREET OFF STREET,45,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
22,A0011,ARMENIAN STREET OFF STREET,45,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
23,A0011,ARMENIAN STREET OFF STREET,7,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
24,A0011,ARMENIAN STREET OFF STREET,7,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
25,A0017,ARAB STREET / QUEEN STREET OFF STREET,148,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
26,A0017,ARAB STREET / QUEEN STREET OFF STREET,19,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
27,A0021,AMOY STREET OFF STREET ,16,Car,Electronic,$1.50,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,17:00
28,A0021,AMOY STREET OFF STREET ,16,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:30
29,A0021,AMOY STREET OFF STREET ,16,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
30,A0021,AMOY STREET OFF STREET ,16,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
31,A0024,ADAM ROAD FOOD CENTRE OFF STREET,63,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
32,A0024,ADAM ROAD FOOD CENTRE OFF STREET,63,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
33,A0024,ADAM ROAD FOOD CENTRE OFF STREET,63,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
